sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,survival_score
Logistics Tech,Riyadh,2010,14,Seed,1667,1,5,3,17,Seed,0,0,1,33.3
Fintech,Khobar,2015,9,Pre-Seed,444,2,3,1,19,Pre-Seed,0,0,0,49.1
E-commerce,NEOM,2016,8,Pre-Seed,448,2,2,2,14,Pre-Seed,0,0,0,56.2
Healthtech,Jeddah,2019,5,Pre-Seed,455,1,2,2,36,Pre-Seed,0,0,0,37.0
Fintech,Jeddah,2015,9,Pre-Seed,482,1,2,1,29,Pre-Seed,0,0,1,27.2
Healthtech,Riyadh,2016,8,Series B,24807,4,17,4,9,Series B,0,0,0,61.3
Fintech,Medina,2015,9,Pre-Seed,456,2,2,3,21,Pre-Seed,0,0,0,24.1
Fintech,NEOM,2017,7,Series A,10523,3,4,3,19,Series A,1,0,0,52.2
HR Tech,NEOM,2011,13,Seed,930,3,6,2,24,Seed,0,0,0,40.2
HR Tech,Jeddah,2018,6,Pre-Seed,138,1,2,1,16,Pre-Seed,0,0,1,51.3
Logistics Tech,Riyadh,2018,6,Series B,47293,5,14,4,10,Series B,0,0,1,55.7
Real Estate Tech,NEOM,2020,4,Series A,13665,2,6,1,8,Series A,0,1,0,51.2
Fintech,Riyadh,2018,6,Pre-Seed,447,2,1,3,14,Pre-Seed,0,0,1,55.1
Edtech,Jeddah,2016,8,Series C,63598,4,23,2,23,Series C,0,0,0,68.9
E-commerce,Riyadh,2018,6,Pre-Seed,423,2,2,2,24,Pre-Seed,0,0,0,58.2
Fintech,Khobar,2010,14,Pre-Seed,106,1,2,3,34,Pre-Seed,0,0,0,44.4
E-commerce,Riyadh,2012,12,Series A,6425,2,10,4,1,Series A,0,0,0,64.1
Fintech,Riyadh,2011,13,Series A,8935,3,4,1,34,Series A,1,0,1,50.4
Traveltech,Jeddah,2020,4,Seed,1827,3,6,2,1,Seed,0,0,0,67.9
Real Estate Tech,Dammam,2010,14,Pre-Seed,309,1,3,3,23,Pre-Seed,0,1,0,63.0
Edtech,Jeddah,2014,10,Series B,40443,3,15,2,21,Series B,0,0,0,51.2
Real Estate Tech,Riyadh,2010,14,Seed,2992,1,2,1,8,Seed,0,1,0,34.9
E-commerce,Riyadh,2012,12,Pre-Seed,232,2,3,1,20,Pre-Seed,0,0,1,57.9
Healthtech,Dammam,2015,9,Seed,676,2,2,2,11,Seed,0,0,0,39.8
Fintech,Medina,2015,9,Series C,122791,6,25,3,30,Series C,0,0,0,44.0
HR Tech,Dammam,2012,12,Pre-Seed,348,2,3,4,6,Pre-Seed,0,0,1,51.6
Logistics Tech,Riyadh,2013,11,Series A,6530,4,10,2,23,Series A,0,0,1,51.4
Traveltech,Khobar,2016,8,Series A,11409,2,9,1,26,Series A,0,0,0,54.7
Traveltech,Riyadh,2015,9,Seed,1930,2,3,2,1,Seed,0,0,0,51.0
Healthtech,Jeddah,2022,2,Series A,5911,4,9,1,6,Series A,0,0,0,50.6
Traveltech,Riyadh,2020,4,Growth,327559,5,23,2,10,Growth,0,0,0,80.3
Fintech,Riyadh,2011,13,Pre-Seed,191,1,3,2,1,Pre-Seed,1,0,0,50.3
Fintech,Dammam,2018,6,Pre-Seed,306,2,2,2,27,Pre-Seed,1,0,1,38.1
Fintech,Jeddah,2015,9,Series C,94264,6,29,2,22,Series C,1,0,0,52.1
Real Estate Tech,Riyadh,2011,13,Series A,3820,4,5,4,24,Series A,0,1,0,55.8
E-commerce,Riyadh,2016,8,Seed,2235,2,6,3,25,Seed,0,0,1,59.8
Real Estate Tech,Riyadh,2020,4,Series A,10598,3,10,2,20,Series A,0,0,0,59.8
Logistics Tech,Jeddah,2020,4,Series A,4062,3,9,2,1,Series A,0,0,0,47.2
Real Estate Tech,Riyadh,2019,5,Series B,25664,4,11,2,14,Series B,0,1,0,62.1
Real Estate Tech,Riyadh,2019,5,Series C,61663,6,16,3,27,Series C,0,1,0,72.1
Healthtech,Jeddah,2013,11,Seed,685,2,4,4,14,Seed,0,0,1,46.0
Fintech,Jeddah,2010,14,Seed,2823,1,4,3,19,Seed,1,0,1,39.4
Logistics Tech,Dammam,2019,5,Series A,11794,2,7,2,27,Series A,0,0,1,58.4
Fintech,Jeddah,2018,6,Seed,1810,1,4,1,29,Seed,0,0,1,41.7
Cybersecurity,NEOM,2022,2,Series A,4372,2,7,4,36,Series A,0,0,1,29.1
Logistics Tech,Khobar,2020,4,Seed,1030,1,2,3,18,Seed,0,0,0,49.7
Fintech,Dammam,2019,5,Pre-Seed,343,1,2,3,14,Pre-Seed,1,0,0,39.6
Fintech,Jeddah,2017,7,Seed,2355,3,6,2,17,Seed,1,0,1,47.4
Logistics Tech,Riyadh,2014,10,Series A,3007,3,10,2,12,Series A,0,0,0,49.7
Edtech,Medina,2012,12,Series B,19046,3,11,1,17,Series B,0,0,0,45.3
Edtech,Riyadh,2013,11,Seed,2124,1,6,4,11,Seed,0,0,0,25.1
Logistics Tech,Riyadh,2012,12,Pre-Seed,215,2,3,4,28,Pre-Seed,0,0,0,44.7
Fintech,Riyadh,2019,5,Seed,563,2,3,2,10,Seed,1,0,1,39.6
Real Estate Tech,Riyadh,2017,7,Series B,32752,5,13,3,35,Series B,0,1,1,62.0
Fintech,Medina,2022,2,Seed,1087,1,3,2,1,Seed,1,0,0,29.9
Agritech,Jeddah,2014,10,Series A,3379,2,4,2,17,Series A,0,0,0,41.9
Healthtech,Jeddah,2022,2,Seed,2843,1,3,2,27,Seed,0,0,1,46.8
Real Estate Tech,Jeddah,2020,4,Pre-Seed,270,1,3,2,7,Pre-Seed,0,1,0,42.5
Fintech,Riyadh,2017,7,Series B,24448,4,13,2,9,Series B,1,0,1,64.2
Real Estate Tech,Riyadh,2010,14,Pre-Seed,493,1,1,2,23,Pre-Seed,0,0,1,59.0
Real Estate Tech,Jeddah,2018,6,Seed,1237,3,3,3,24,Seed,0,1,0,41.9
Edtech,Jeddah,2020,4,Pre-Seed,375,1,2,2,9,Pre-Seed,0,0,0,37.0
Healthtech,Riyadh,2019,5,Pre-Seed,461,2,1,3,16,Pre-Seed,0,0,0,49.0
Agritech,Dammam,2012,12,Seed,1204,1,6,2,32,Seed,0,0,0,40.3
E-commerce,Riyadh,2010,14,Seed,599,3,2,3,19,Seed,0,0,0,53.2
Fintech,Riyadh,2012,12,Series A,13652,4,10,4,6,Series A,1,0,1,58.4
Edtech,Riyadh,2022,2,Series A,14492,3,5,1,3,Series A,0,0,0,53.6
Logistics Tech,Riyadh,2011,13,Series A,11606,3,6,2,21,Series A,0,0,1,50.1
Healthtech,Dammam,2016,8,Seed,814,2,4,1,27,Seed,0,0,0,40.5
Logistics Tech,Dammam,2019,5,Series A,13566,2,4,2,28,Series A,0,0,0,55.4
E-commerce,Riyadh,2013,11,Series A,9273,4,10,2,32,Series A,0,0,0,62.1
E-commerce,Jeddah,2016,8,Seed,2286,2,3,2,20,Seed,0,0,1,54.0
E-commerce,Jeddah,2012,12,Series A,10620,3,8,3,18,Series A,0,0,1,36.3
Fintech,Riyadh,2015,9,Series C,116969,5,17,2,21,Series C,0,0,0,60.8
Fintech,Riyadh,2016,8,Pre-Seed,238,1,2,2,23,Pre-Seed,1,0,0,52.9
Fintech,Medina,2016,8,Series C,112117,4,20,2,12,Series C,0,0,0,49.0
Healthtech,Jeddah,2014,10,Pre-Seed,303,1,2,1,20,Pre-Seed,0,0,0,33.7
Real Estate Tech,Medina,2015,9,Seed,2449,1,2,3,8,Seed,0,1,0,38.6
E-commerce,Riyadh,2012,12,Seed,838,2,2,1,1,Seed,0,0,0,52.2
Traveltech,Jeddah,2021,3,Series A,7342,4,9,4,15,Series A,0,0,1,60.3
Real Estate Tech,Riyadh,2013,11,Pre-Seed,236,2,1,2,25,Pre-Seed,0,1,1,58.9
E-commerce,Riyadh,2020,4,Series B,19300,5,15,2,1,Series B,0,0,0,64.7
Logistics Tech,Jeddah,2015,9,Series B,38433,4,16,1,25,Series B,0,0,1,50.4
Real Estate Tech,Riyadh,2012,12,Series A,4217,4,4,2,23,Series A,0,1,0,57.6
Fintech,Riyadh,2016,8,Seed,2078,1,2,3,10,Seed,0,0,1,40.5
Real Estate Tech,Riyadh,2012,12,Series C,124464,4,25,4,35,Series C,0,0,0,66.0
Fintech,Riyadh,2018,6,Series B,25524,3,12,1,12,Series B,0,0,1,56.1
Traveltech,Jeddah,2013,11,Seed,2766,2,6,3,2,Seed,0,0,1,64.7
Logistics Tech,Riyadh,2011,13,Series A,7669,2,4,2,22,Series A,0,0,0,47.6
Healthtech,Riyadh,2015,9,Series A,14816,2,4,2,28,Series A,0,0,0,44.1
Agritech,Riyadh,2018,6,Series A,11374,2,9,2,34,Series A,0,0,0,59.1
Logistics Tech,Riyadh,2022,2,Seed,2095,3,4,4,18,Seed,0,0,0,33.5
Fintech,Jeddah,2019,5,Seed,1474,2,2,2,27,Seed,1,0,0,41.1
Traveltech,Riyadh,2019,5,Pre-Seed,322,2,3,1,12,Pre-Seed,0,0,0,63.2
Healthtech,Dammam,2011,13,Seed,708,2,6,2,23,Seed,0,0,1,39.3
Logistics Tech,Riyadh,2013,11,Series A,13663,4,6,3,35,Series A,0,0,0,49.3
Traveltech,Riyadh,2014,10,Series C,149498,4,24,2,42,Series C,0,0,0,64.0
Real Estate Tech,NEOM,2018,6,Growth,344763,6,47,2,11,Growth,0,1,0,52.8
Fintech,Jeddah,2016,8,Series A,4190,3,10,4,32,Series A,1,0,0,30.5
Real Estate Tech,Riyadh,2014,10,Series A,7665,2,4,4,8,Series A,0,1,0,57.4
E-commerce,Dammam,2015,9,Pre-Seed,222,1,1,3,11,Pre-Seed,0,0,0,51.4
Logistics Tech,Riyadh,2018,6,Series A,10564,4,7,3,13,Series A,0,0,0,58.5
Agritech,Dammam,2013,11,Pre-Seed,236,2,2,3,27,Pre-Seed,0,0,0,34.7
Fintech,Jeddah,2022,2,Seed,1930,2,5,2,19,Seed,0,0,0,43.2
E-commerce,Jeddah,2011,13,Series A,8030,3,8,2,3,Series A,0,0,0,39.0
E-commerce,Abha,2014,10,Seed,1469,3,5,2,22,Seed,0,0,0,67.7
Real Estate Tech,Riyadh,2016,8,Pre-Seed,349,2,3,4,31,Pre-Seed,0,1,0,59.3
Fintech,Jeddah,2021,3,Series B,48337,4,12,3,19,Series B,0,0,0,44.0
Real Estate Tech,Riyadh,2013,11,Seed,731,2,6,1,26,Seed,0,1,1,32.8
HR Tech,Riyadh,2021,3,Pre-Seed,343,2,2,1,10,Pre-Seed,0,0,0,55.5
Real Estate Tech,Riyadh,2010,14,Pre-Seed,385,1,3,3,27,Pre-Seed,0,1,1,60.2
E-commerce,Riyadh,2017,7,Seed,2157,2,3,2,10,Seed,0,0,0,56.1
Edtech,Jeddah,2014,10,Pre-Seed,153,2,2,2,19,Pre-Seed,0,0,0,34.0
Real Estate Tech,Jeddah,2019,5,Series B,47380,5,11,2,9,Series B,0,1,0,55.5
HR Tech,Jeddah,2011,13,Seed,2113,2,6,2,6,Seed,0,0,0,54.6
HR Tech,Riyadh,2012,12,Series B,22203,3,10,4,7,Series B,0,0,1,56.1
Real Estate Tech,Riyadh,2021,3,Pre-Seed,423,1,2,3,13,Pre-Seed,0,0,0,60.0
E-commerce,Khobar,2019,5,Seed,2446,1,6,4,19,Seed,0,0,1,61.0
Real Estate Tech,Riyadh,2021,3,Series A,3586,2,10,2,10,Series A,0,1,0,58.6
Real Estate Tech,Jeddah,2019,5,Series A,8606,3,9,3,44,Series A,0,1,0,45.9
Fintech,Dammam,2014,10,Series A,3422,3,9,2,15,Series A,1,0,0,30.7
Healthtech,Dammam,2020,4,Series C,92274,5,25,2,5,Series C,0,0,0,64.6
E-commerce,Jeddah,2013,11,Pre-Seed,389,1,3,2,1,Pre-Seed,0,0,0,25.2
Fintech,NEOM,2018,6,Seed,1543,3,3,4,36,Seed,0,0,1,54.9
Real Estate Tech,Riyadh,2018,6,Series B,35227,5,17,3,22,Series B,0,1,1,60.5
Traveltech,NEOM,2017,7,Pre-Seed,215,1,2,2,7,Pre-Seed,0,0,1,50.0
Real Estate Tech,Riyadh,2011,13,Pre-Seed,391,1,3,4,14,Pre-Seed,0,1,0,57.1
Fintech,Riyadh,2014,10,Pre-Seed,359,2,2,2,10,Pre-Seed,1,0,1,50.4
E-commerce,Riyadh,2017,7,Series A,9522,4,6,3,26,Series A,0,0,0,62.7
Cybersecurity,Dammam,2017,7,Seed,1678,2,3,3,38,Seed,0,0,0,49.5
Real Estate Tech,Riyadh,2016,8,Pre-Seed,302,1,3,3,9,Pre-Seed,0,0,0,60.9
Edtech,Riyadh,2013,11,Seed,2167,3,2,3,25,Seed,0,0,0,25.8
Logistics Tech,Riyadh,2012,12,Series A,7529,3,5,1,18,Series A,0,0,0,48.3
Real Estate Tech,Khobar,2017,7,Pre-Seed,364,2,1,4,13,Pre-Seed,0,0,1,47.1
Edtech,Dammam,2017,7,Seed,2486,3,4,2,14,Seed,0,0,1,30.0
Real Estate Tech,Jeddah,2022,2,Series A,11707,2,9,2,7,Series A,0,1,0,46.2
Healthtech,Jeddah,2019,5,Series C,86098,4,15,2,21,Series C,0,0,1,51.1
Healthtech,Riyadh,2014,10,Series A,8462,4,9,2,21,Series A,0,0,0,46.8
Healthtech,Riyadh,2012,12,Series B,19598,5,17,2,24,Series B,0,0,0,59.6
Fintech,Khobar,2014,10,Seed,1489,3,3,3,20,Seed,0,0,0,53.1
Agritech,Riyadh,2013,11,Seed,917,1,4,2,8,Seed,0,0,0,46.9
Real Estate Tech,Riyadh,2017,7,Seed,600,1,2,1,24,Seed,0,0,0,31.9
Fintech,Riyadh,2011,13,Series B,40994,4,18,2,9,Series B,0,0,1,58.7
Fintech,Riyadh,2020,4,Seed,1379,2,3,3,17,Seed,1,0,0,39.1
Healthtech,Riyadh,2017,7,Series B,37956,3,10,2,8,Series B,0,0,0,60.6
Edtech,Jeddah,2019,5,Growth,406678,6,41,3,27,Growth,0,0,0,63.6
Fintech,Riyadh,2015,9,Pre-Seed,248,1,2,1,10,Pre-Seed,1,0,1,52.0
E-commerce,Jeddah,2013,11,Pre-Seed,262,2,3,2,39,Pre-Seed,0,0,0,24.3
Real Estate Tech,Riyadh,2020,4,Pre-Seed,182,2,2,2,12,Pre-Seed,0,1,0,62.2
Healthtech,Riyadh,2012,12,Seed,1034,2,4,3,23,Seed,0,0,0,26.5
Fintech,Riyadh,2019,5,Pre-Seed,119,1,2,2,24,Pre-Seed,1,0,0,52.2
Edtech,Dammam,2022,2,Series B,42492,3,8,2,5,Series B,0,0,0,34.1
E-commerce,Riyadh,2014,10,Pre-Seed,310,2,3,2,1,Pre-Seed,0,0,1,59.0
Traveltech,Jeddah,2015,9,Seed,1890,3,6,2,7,Seed,0,0,0,69.0
Fintech,Jeddah,2010,14,Pre-Seed,423,2,1,2,19,Pre-Seed,0,0,0,26.1
Real Estate Tech,Jeddah,2010,14,Series C,79536,5,21,2,8,Series C,0,0,1,68.6
Fintech,Riyadh,2020,4,Series A,4544,3,6,3,9,Series A,0,0,1,47.3
Traveltech,Riyadh,2019,5,Series C,108163,6,28,3,34,Series C,0,0,1,67.8
Agritech,Riyadh,2012,12,Growth,381066,7,45,2,12,Growth,0,0,0,71.6
Real Estate Tech,Jeddah,2011,13,Seed,2087,1,6,2,27,Seed,0,0,0,39.9
Edtech,Riyadh,2021,3,Pre-Seed,345,2,1,3,14,Pre-Seed,0,0,0,42.4
Logistics Tech,Dammam,2010,14,Pre-Seed,253,2,3,3,15,Pre-Seed,0,0,1,63.3
Healthtech,NEOM,2020,4,Pre-Seed,345,1,3,3,13,Pre-Seed,0,0,0,35.9
E-commerce,Riyadh,2017,7,Series A,12007,3,9,3,16,Series A,0,0,0,67.3
Real Estate Tech,Riyadh,2021,3,Pre-Seed,142,1,3,2,3,Pre-Seed,0,1,0,61.3
Fintech,Jeddah,2022,2,Pre-Seed,492,1,3,2,9,Pre-Seed,1,0,0,32.5
Traveltech,Riyadh,2010,14,Series A,7259,4,7,1,10,Series A,0,0,0,61.6
Traveltech,Riyadh,2019,5,Series A,7608,3,4,2,24,Series A,0,0,1,55.2
Healthtech,NEOM,2017,7,Series A,12363,3,10,4,33,Series A,0,0,0,35.7
Real Estate Tech,Riyadh,2014,10,Seed,2468,1,2,4,30,Seed,0,0,0,26.9
Real Estate Tech,Khobar,2022,2,Series B,44520,3,15,3,14,Series B,0,1,1,44.8
Edtech,Jeddah,2013,11,Seed,2694,3,2,2,7,Seed,0,0,1,51.2
Traveltech,Dammam,2017,7,Pre-Seed,368,2,2,2,16,Pre-Seed,0,0,0,60.1
Agritech,Riyadh,2017,7,Series B,38796,5,9,3,21,Series B,0,0,0,79.2
Logistics Tech,Riyadh,2020,4,Series C,126072,5,15,2,17,Series C,0,0,0,50.8
Healthtech,Jeddah,2017,7,Pre-Seed,394,1,3,3,25,Pre-Seed,0,0,0,39.4
Fintech,Riyadh,2012,12,Seed,2862,1,4,1,6,Seed,1,0,0,36.2
Fintech,Riyadh,2021,3,Seed,2828,3,5,2,17,Seed,1,0,1,44.0
Traveltech,Riyadh,2017,7,Pre-Seed,218,1,1,3,17,Pre-Seed,0,0,0,61.9
Healthtech,Riyadh,2022,2,Series B,26827,4,13,4,15,Series B,0,0,1,62.9
Fintech,Riyadh,2010,14,Seed,974,3,4,3,11,Seed,1,0,0,40.5
Fintech,Dammam,2022,2,Series B,19824,3,17,3,3,Series B,1,0,0,38.0
Edtech,Riyadh,2013,11,Series A,3588,4,10,2,3,Series A,0,0,1,61.4
Fintech,Riyadh,2014,10,Series A,4190,2,8,2,35,Series A,0,0,0,45.1
Fintech,Jeddah,2015,9,Pre-Seed,482,1,1,1,4,Pre-Seed,1,0,0,31.0
Healthtech,Medina,2014,10,Pre-Seed,160,1,2,2,12,Pre-Seed,0,0,0,35.3
Edtech,Riyadh,2014,10,Pre-Seed,404,1,2,2,11,Pre-Seed,0,0,1,40.6
Edtech,Riyadh,2014,10,Pre-Seed,378,1,3,2,13,Pre-Seed,0,0,0,37.4
Real Estate Tech,Jeddah,2018,6,Seed,1088,3,6,4,39,Seed,0,1,0,40.1
Edtech,Khobar,2019,5,Series B,27497,3,15,2,22,Series B,0,0,1,58.7
Real Estate Tech,Dammam,2019,5,Seed,537,1,4,2,12,Seed,0,1,1,48.6
Real Estate Tech,Jeddah,2012,12,Series A,12350,4,4,2,17,Series A,0,1,0,43.5
Edtech,Riyadh,2011,13,Seed,2960,3,6,1,25,Seed,0,0,0,27.4
Healthtech,Jeddah,2019,5,Series B,38700,5,16,2,29,Series B,0,0,0,62.4
Agritech,Riyadh,2011,13,Growth,307069,6,24,3,22,Growth,0,0,1,67.2
Edtech,Jeddah,2017,7,Pre-Seed,351,2,3,2,36,Pre-Seed,0,0,1,38.4
Healthtech,Jeddah,2014,10,Series B,45199,4,16,3,10,Series B,0,0,0,66.7
Fintech,Mecca,2014,10,Series A,11699,3,5,2,15,Series A,1,0,0,45.1
Real Estate Tech,Riyadh,2015,9,Series B,41191,3,12,2,19,Series B,0,1,0,52.0
Real Estate Tech,Riyadh,2018,6,Series A,12460,2,6,3,21,Series A,0,1,1,54.6
Real Estate Tech,Jeddah,2016,8,Seed,1330,1,5,2,11,Seed,0,0,0,43.6
HR Tech,Jeddah,2014,10,Pre-Seed,466,1,3,2,28,Pre-Seed,0,0,0,48.6
E-commerce,Dammam,2014,10,Pre-Seed,219,2,2,2,23,Pre-Seed,0,0,1,46.6
Traveltech,Riyadh,2019,5,Seed,1134,1,2,1,12,Seed,0,0,1,49.7
Healthtech,Riyadh,2018,6,Growth,248516,8,24,3,14,Growth,0,0,0,77.4
Logistics Tech,Jeddah,2018,6,Series A,5332,4,5,1,28,Series A,0,0,0,43.6
E-commerce,Riyadh,2011,13,Seed,2825,2,3,1,12,Seed,0,0,1,54.6
Healthtech,NEOM,2016,8,Series B,40641,4,10,2,8,Series B,0,0,0,57.7
E-commerce,Riyadh,2019,5,Series A,4447,4,9,2,6,Series A,0,0,0,73.2
Fintech,Dammam,2010,14,Seed,2033,1,6,2,1,Seed,0,0,1,31.9
Edtech,Jeddah,2013,11,Pre-Seed,463,2,3,2,13,Pre-Seed,0,0,1,38.7
Real Estate Tech,Dammam,2011,13,Pre-Seed,493,2,2,1,1,Pre-Seed,0,0,0,64.0
Fintech,Riyadh,2019,5,Series B,16834,3,9,2,10,Series B,1,0,0,57.0
Healthtech,Dammam,2018,6,Series B,29797,3,10,1,41,Series B,0,0,0,55.5
Fintech,Riyadh,2021,3,Seed,2154,1,5,2,10,Seed,1,0,1,41.7
HR Tech,Jeddah,2015,9,Seed,2908,1,2,3,25,Seed,0,0,1,55.2
HR Tech,Riyadh,2013,11,Series B,18306,3,14,2,20,Series B,0,0,0,53.4
Traveltech,Riyadh,2012,12,Series C,81654,4,18,2,32,Series C,0,0,0,62.9
Real Estate Tech,Riyadh,2013,11,Series B,20163,3,10,2,10,Series B,0,1,1,55.2
Fintech,Riyadh,2011,13,Series A,11066,4,9,4,18,Series A,1,0,1,53.6
Traveltech,Mecca,2014,10,Pre-Seed,233,1,2,3,15,Pre-Seed,0,0,0,61.5
E-commerce,Riyadh,2018,6,Seed,1857,1,4,3,18,Seed,0,0,0,57.8
HR Tech,Dammam,2015,9,Pre-Seed,256,2,3,1,6,Pre-Seed,0,0,0,55.0
HR Tech,Medina,2011,13,Series B,33638,4,17,1,11,Series B,0,0,0,49.8
Agritech,Riyadh,2015,9,Seed,2637,1,4,3,4,Seed,0,0,0,49.5
Real Estate Tech,Jeddah,2018,6,Series B,40512,4,16,2,6,Series B,0,0,0,51.2
E-commerce,Riyadh,2013,11,Seed,1623,3,3,2,19,Seed,0,0,0,53.8
Agritech,Riyadh,2010,14,Series B,37902,5,12,2,37,Series B,0,0,1,78.1
Real Estate Tech,Riyadh,2011,13,Seed,2010,3,3,2,28,Seed,0,0,0,32.4
Fintech,Khobar,2014,10,Seed,2438,2,3,1,20,Seed,1,0,0,49.6
Healthtech,Riyadh,2019,5,Series A,11903,4,5,2,12,Series A,0,0,1,50.4
Traveltech,Jeddah,2016,8,Pre-Seed,455,1,2,3,3,Pre-Seed,0,0,0,52.1
Edtech,Jeddah,2017,7,Series C,82823,5,18,1,3,Series C,0,0,0,77.3
Healthtech,NEOM,2012,12,Series A,12833,2,10,2,17,Series A,0,0,0,36.0
Fintech,Riyadh,2018,6,Seed,2862,1,6,3,37,Seed,1,0,1,38.8
Healthtech,Jeddah,2011,13,Series B,33141,3,8,2,24,Series B,0,0,1,60.8
Cybersecurity,Jeddah,2013,11,Series B,20529,4,15,3,20,Series B,0,0,1,61.6
Fintech,Jeddah,2013,11,Seed,2577,1,3,3,40,Seed,0,0,1,38.7
E-commerce,Mecca,2015,9,Series C,140888,6,29,1,19,Series C,0,0,0,59.8
Agritech,Dammam,2019,5,Pre-Seed,455,1,3,2,23,Pre-Seed,0,0,0,37.5
Edtech,Riyadh,2015,9,Pre-Seed,478,1,3,3,39,Pre-Seed,0,0,0,41.9
Edtech,Riyadh,2012,12,Series A,13935,2,8,2,27,Series A,0,0,1,54.7
Edtech,Riyadh,2018,6,Seed,1064,1,2,1,22,Seed,0,0,0,25.5
Real Estate Tech,Riyadh,2020,4,Seed,2895,1,6,2,1,Seed,0,1,0,36.4
Real Estate Tech,Riyadh,2014,10,Seed,1422,2,2,3,32,Seed,0,1,0,29.9
Logistics Tech,Riyadh,2011,13,Seed,2027,1,2,4,4,Seed,0,0,0,30.7
Logistics Tech,Riyadh,2015,9,Series B,35572,5,10,2,1,Series B,0,0,0,53.7
Agritech,Medina,2012,12,Series A,13569,4,10,2,20,Series A,0,0,0,41.5
Traveltech,Riyadh,2017,7,Growth,372746,5,27,2,23,Growth,0,0,0,74.9
E-commerce,Khobar,2022,2,Series B,18020,4,8,2,7,Series B,0,0,1,45.8
E-commerce,Riyadh,2012,12,Seed,1102,1,4,2,2,Seed,0,0,0,54.1
Logistics Tech,Jeddah,2014,10,Seed,2211,1,3,2,1,Seed,0,0,0,48.8
Healthtech,Dammam,2013,11,Seed,842,3,6,3,12,Seed,0,0,0,40.0
Edtech,Riyadh,2013,11,Series B,17945,4,8,2,14,Series B,0,0,0,47.9
Logistics Tech,Riyadh,2011,13,Pre-Seed,495,1,3,4,3,Pre-Seed,0,0,0,48.5
Traveltech,Riyadh,2017,7,Pre-Seed,129,2,2,2,38,Pre-Seed,0,0,0,60.3
Real Estate Tech,Riyadh,2012,12,Series C,109918,4,27,2,10,Series C,0,1,1,76.0
Real Estate Tech,Khobar,2013,11,Series A,10670,4,5,3,12,Series A,0,0,0,59.5
Fintech,Dammam,2015,9,Pre-Seed,229,1,1,2,27,Pre-Seed,0,0,0,34.5
Healthtech,Riyadh,2018,6,Pre-Seed,230,1,3,2,8,Pre-Seed,0,0,0,47.4
Fintech,Riyadh,2021,3,Series B,26782,5,8,1,38,Series B,1,0,1,59.5
E-commerce,Riyadh,2013,11,Series C,92707,4,25,4,27,Series C,0,0,0,53.3
Healthtech,Riyadh,2012,12,Seed,1673,2,4,2,14,Seed,0,0,1,28.2
