sector,city,founded_year,startup_age_years,funding_stage,total_funding_sar,num_funding_rounds,num_investors,num_founders,speed_to_first_round_months,last_round_type,sama_sandbox,rega_sandbox,ntdp_participation,market_growth_index,traction_score,monthly_revenue_sar,risk_category,survived_3_years,investment_score
Real Estate Tech,Jeddah,2013,11,Pre-Seed,229,1,3,2,24,Pre-Seed,0,0,0,0.82,15.7,3111,Medium,1,64.0
E-commerce,Khobar,2017,7,Series A,6802,3,9,1,19,Series A,0,0,1,0.72,51.5,184097,Low,0,69.8
Logistics Tech,Jeddah,2010,14,Pre-Seed,101,2,3,4,21,Pre-Seed,0,0,0,0.63,13.9,5284,Medium,1,60.0
Fintech,Riyadh,2017,7,Series C,57414,5,17,2,20,Series C,1,0,1,0.9,88.5,13790582,Medium,1,71.8
E-commerce,Riyadh,2020,4,Series C,67666,5,29,1,17,Series C,0,0,1,0.72,81.5,6701980,Medium,0,59.0
Healthtech,Jeddah,2010,14,Series A,13857,4,9,2,25,Series A,0,0,1,0.78,62.7,60100,Medium,0,50.7
Fintech,Riyadh,2020,4,Series A,14088,4,7,2,21,Series A,0,0,0,0.9,43.0,67812,High,0,47.9
Healthtech,Riyadh,2010,14,Pre-Seed,284,2,2,2,9,Pre-Seed,0,0,1,0.78,27.3,4135,Medium,1,50.1
Fintech,Jeddah,2016,8,Growth,461599,5,26,1,23,Growth,0,0,0,0.9,92.2,62425535,Medium,0,47.9
Fintech,Jeddah,2010,14,Series B,28806,5,15,4,20,Series B,1,0,0,0.9,77.2,2976680,Medium,1,60.3
HR Tech,Jeddah,2018,6,Series C,91716,4,28,2,24,Series C,0,0,0,0.65,88.9,7741390,Medium,1,55.3
HR Tech,Riyadh,2017,7,Series A,7260,3,9,1,16,Series A,0,0,1,0.65,58.4,240766,High,0,43.9
Logistics Tech,Riyadh,2022,2,Seed,2168,3,5,1,26,Seed,0,0,0,0.63,32.0,63627,Medium,0,48.1
Real Estate Tech,Jeddah,2010,14,Series C,92187,6,23,2,17,Series C,0,1,1,0.82,95.6,11439131,Low,1,84.0
Fintech,Mecca,2011,13,Seed,1734,3,2,1,25,Seed,1,0,0,0.9,37.1,21989,High,1,53.0
Edtech,Jeddah,2011,13,Series A,8979,2,10,1,13,Series A,0,0,1,0.58,57.1,288904,High,0,40.2
E-commerce,Khobar,2011,13,Pre-Seed,200,2,3,2,14,Pre-Seed,0,0,0,0.72,22.6,2936,Medium,1,52.2
Fintech,Dammam,2015,9,Series C,78094,5,19,2,24,Series C,0,0,0,0.9,84.5,4029809,Low,1,80.3
E-commerce,Jeddah,2013,11,Pre-Seed,485,1,1,1,14,Pre-Seed,0,0,1,0.72,19.4,2778,Medium,1,51.0
Fintech,Riyadh,2017,7,Pre-Seed,370,2,3,2,40,Pre-Seed,1,0,0,0.9,18.0,5647,Medium,0,54.4
Traveltech,Jeddah,2010,14,Series A,9091,4,7,2,23,Series A,0,0,0,0.48,51.4,497327,Medium,1,61.0
Real Estate Tech,Jeddah,2019,5,Series A,11155,3,4,2,18,Series A,0,0,1,0.82,53.9,258779,Medium,1,55.2
Edtech,Jeddah,2013,11,Series A,11184,2,4,2,26,Series A,0,0,1,0.58,59.1,193851,Medium,0,39.2
Real Estate Tech,Riyadh,2019,5,Pre-Seed,148,1,2,1,13,Pre-Seed,0,0,0,0.82,27.1,7075,Medium,1,62.1
E-commerce,Jeddah,2020,4,Pre-Seed,467,1,3,1,27,Pre-Seed,0,0,0,0.72,15.3,1934,Medium,0,52.1
Healthtech,Riyadh,2014,10,Series A,14503,2,9,2,26,Series A,0,0,0,0.78,47.5,69090,High,0,39.6
Fintech,Jeddah,2018,6,Growth,310471,6,30,2,30,Growth,1,0,0,0.9,96.7,14061329,Medium,0,48.7
HR Tech,Riyadh,2014,10,Series B,24647,4,15,1,13,Series B,0,0,0,0.65,68.0,1318233,Medium,1,59.2
Logistics Tech,Dammam,2022,2,Seed,2828,1,4,2,5,Seed,0,0,0,0.63,30.2,15186,Medium,1,55.4
Traveltech,Riyadh,2020,4,Series C,109708,4,16,4,11,Series C,0,0,0,0.48,81.9,11085917,Medium,1,68.5
Traveltech,Riyadh,2012,12,Seed,2513,2,3,3,15,Seed,0,0,0,0.48,26.7,18211,Medium,0,54.7
Healthtech,Riyadh,2020,4,Seed,1601,3,6,3,34,Seed,0,0,0,0.78,25.5,54162,High,0,47.9
Traveltech,Jeddah,2013,11,Seed,1316,1,2,3,39,Seed,0,0,0,0.48,25.4,77106,High,1,50.1
Fintech,Riyadh,2019,5,Seed,651,3,3,4,21,Seed,1,0,0,0.9,33.8,44807,High,1,48.9
Fintech,Riyadh,2016,8,Series B,37000,3,10,3,18,Series B,1,0,0,0.9,69.3,885676,Low,1,63.5
Fintech,Jeddah,2010,14,Seed,1821,2,2,2,14,Seed,1,0,0,0.9,36.3,9134,High,0,34.5
Real Estate Tech,Riyadh,2020,4,Seed,1169,3,3,2,26,Seed,0,1,1,0.82,25.2,20326,Medium,0,58.7
E-commerce,Khobar,2015,9,Seed,907,2,6,2,39,Seed,0,0,1,0.72,35.7,13782,Medium,0,60.9
Real Estate Tech,Khobar,2017,7,Pre-Seed,386,1,1,3,35,Pre-Seed,0,0,0,0.82,20.8,9680,High,0,47.4
Logistics Tech,Jeddah,2010,14,Series A,10624,3,8,4,29,Series A,0,0,0,0.63,51.0,399144,Medium,1,57.8
Real Estate Tech,Riyadh,2017,7,Pre-Seed,108,1,1,2,29,Pre-Seed,0,0,1,0.82,18.3,3223,Medium,1,61.2
Real Estate Tech,Jeddah,2016,8,Pre-Seed,231,2,2,3,26,Pre-Seed,0,0,1,0.82,17.8,940,Medium,1,67.8
Healthtech,Riyadh,2010,14,Series A,12293,3,9,2,17,Series A,0,0,0,0.78,53.0,331891,High,0,43.3
Fintech,Riyadh,2018,6,Series A,13978,4,9,2,10,Series A,1,0,0,0.9,49.2,109232,Medium,0,54.2
Logistics Tech,Riyadh,2020,4,Series A,3997,3,10,2,17,Series A,0,0,0,0.63,41.4,472763,High,0,43.3
Fintech,Khobar,2012,12,Seed,2412,2,4,2,22,Seed,0,0,1,0.9,40.6,50652,High,0,31.7
Cybersecurity,Riyadh,2011,13,Series C,59628,6,27,2,3,Series C,0,0,1,0.88,78.6,10754840,Medium,1,66.5
Logistics Tech,Jeddah,2016,8,Series C,71594,6,30,3,16,Series C,0,0,1,0.63,87.2,14496633,Low,1,70.3
Fintech,Jeddah,2020,4,Series B,35085,5,12,3,9,Series B,0,0,0,0.9,65.0,1969115,Medium,1,61.1
Fintech,Riyadh,2012,12,Series A,9766,2,5,3,28,Series A,1,0,1,0.9,66.8,414401,Medium,1,52.1
Logistics Tech,Riyadh,2010,14,Seed,1389,2,2,2,12,Seed,0,0,0,0.63,32.7,7611,Medium,0,48.0
Edtech,Medina,2019,5,Growth,166738,8,33,3,21,Growth,0,0,1,0.58,94.3,18478421,High,0,50.0
Edtech,Jeddah,2022,2,Seed,2819,3,3,2,10,Seed,0,0,0,0.58,20.9,6653,High,0,45.1
Logistics Tech,Jeddah,2012,12,Pre-Seed,491,2,1,2,33,Pre-Seed,0,0,0,0.63,21.4,1468,Medium,1,59.6
Fintech,Riyadh,2015,9,Seed,932,1,4,3,1,Seed,0,0,0,0.9,26.8,54440,Medium,1,49.6
Real Estate Tech,Riyadh,2012,12,Pre-Seed,326,1,2,2,22,Pre-Seed,0,0,1,0.82,18.5,6992,Medium,1,59.8
Fintech,Riyadh,2014,10,Growth,447432,8,36,1,5,Growth,0,0,1,0.9,96.9,37067772,Low,1,65.0
Agritech,Riyadh,2018,6,Series A,8428,4,7,2,12,Series A,0,0,0,0.52,43.6,363739,Medium,1,58.8
Healthtech,Riyadh,2016,8,Series A,7604,4,9,3,20,Series A,0,0,0,0.78,45.0,414830,High,0,42.0
Real Estate Tech,Dammam,2011,13,Series A,11247,4,8,2,20,Series A,0,1,0,0.82,57.4,294706,High,1,56.7
Fintech,Riyadh,2010,14,Seed,2585,1,3,2,20,Seed,1,0,0,0.9,37.9,73129,Medium,0,47.5
Real Estate Tech,Riyadh,2016,8,Pre-Seed,487,2,1,3,19,Pre-Seed,0,0,0,0.82,19.0,5733,Medium,0,62.4
Real Estate Tech,Jeddah,2013,11,Series A,13295,2,5,3,11,Series A,0,0,0,0.82,52.0,111991,Medium,0,55.4
Edtech,Dammam,2020,4,Series A,11716,3,8,3,16,Series A,0,0,0,0.58,41.0,73930,High,0,46.7
Healthtech,Riyadh,2016,8,Seed,963,1,4,2,18,Seed,0,0,1,0.78,23.4,61350,High,0,48.5
Agritech,Jeddah,2015,9,Series A,4502,4,10,2,19,Series A,0,0,1,0.52,48.5,426678,Medium,0,52.5
E-commerce,Riyadh,2016,8,Pre-Seed,336,2,1,2,17,Pre-Seed,0,0,0,0.72,19.8,4393,Medium,0,60.4
Fintech,Riyadh,2013,11,Pre-Seed,392,2,3,2,25,Pre-Seed,1,0,0,0.9,27.2,9485,Medium,0,53.6
Edtech,Riyadh,2012,12,Pre-Seed,303,2,2,3,18,Pre-Seed,0,0,0,0.58,23.9,2747,Medium,0,43.4
Logistics Tech,Dammam,2021,3,Seed,1735,2,4,1,20,Seed,0,0,0,0.63,28.2,43366,Medium,1,53.8
Healthtech,Riyadh,2014,10,Series B,42874,4,18,2,14,Series B,0,0,1,0.78,76.1,2969817,Low,1,74.6
Logistics Tech,Riyadh,2012,12,Series B,38559,5,10,3,7,Series B,0,0,1,0.63,74.9,919681,Medium,1,54.1
E-commerce,Riyadh,2012,12,Seed,2347,2,4,3,19,Seed,0,0,0,0.72,39.3,38826,Low,1,58.2
E-commerce,Dammam,2013,11,Series A,6612,4,9,3,30,Series A,0,0,1,0.72,55.6,60266,Low,1,71.2
E-commerce,Riyadh,2017,7,Series A,12181,2,9,3,22,Series A,0,0,1,0.72,59.2,71124,Medium,0,59.6
Fintech,Riyadh,2011,13,Pre-Seed,392,1,3,3,9,Pre-Seed,0,0,0,0.9,18.3,946,High,1,53.3
Fintech,Riyadh,2013,11,Pre-Seed,311,2,3,3,26,Pre-Seed,1,0,1,0.9,24.6,8934,Medium,0,54.4
Fintech,Riyadh,2020,4,Growth,374331,5,41,2,14,Growth,1,0,0,0.9,96.3,32342567,Medium,1,66.4
Healthtech,Jeddah,2012,12,Series A,3754,2,4,4,25,Series A,0,0,0,0.78,52.0,431273,High,0,48.3
Real Estate Tech,Jeddah,2016,8,Growth,394850,5,30,2,14,Growth,0,1,0,0.82,98.0,14891991,Low,0,64.1
E-commerce,Riyadh,2011,13,Seed,936,2,4,2,21,Seed,0,0,1,0.72,38.0,40011,Medium,1,59.0
Traveltech,Riyadh,2010,14,Series A,13094,4,8,2,12,Series A,0,0,0,0.48,53.4,311579,Medium,1,59.5
Real Estate Tech,Riyadh,2019,5,Pre-Seed,183,2,1,3,13,Pre-Seed,0,0,0,0.82,11.9,1654,Medium,0,61.9
E-commerce,Riyadh,2010,14,Seed,1736,3,6,4,2,Seed,0,0,1,0.72,35.1,65365,Medium,0,60.6
Logistics Tech,Riyadh,2015,9,Seed,1279,2,4,2,23,Seed,0,0,0,0.63,34.5,58072,Medium,0,49.6
Real Estate Tech,Dammam,2012,12,Seed,1334,2,6,1,21,Seed,0,0,1,0.82,36.3,17200,Medium,1,52.4
Fintech,Mecca,2016,8,Pre-Seed,368,1,1,3,22,Pre-Seed,0,0,0,0.9,10.1,2575,Medium,1,53.3
Real Estate Tech,Medina,2017,7,Seed,2461,3,3,4,20,Seed,0,1,0,0.82,38.2,40444,Medium,1,64.3
Fintech,NEOM,2014,10,Pre-Seed,276,2,1,2,10,Pre-Seed,1,0,0,0.9,25.1,2451,High,1,36.9
Traveltech,Jeddah,2014,10,Series A,12999,3,9,2,27,Series A,0,0,1,0.48,56.2,341005,Medium,1,59.6
Logistics Tech,Jeddah,2021,3,Seed,2860,3,6,3,27,Seed,0,0,0,0.63,28.6,26875,Medium,0,56.4
Healthtech,Riyadh,2011,13,Pre-Seed,281,1,1,2,10,Pre-Seed,0,0,0,0.78,24.7,106,High,0,50.3
Agritech,Jeddah,2017,7,Pre-Seed,258,1,2,3,23,Pre-Seed,0,0,0,0.52,12.3,6587,High,0,44.2
Logistics Tech,Riyadh,2019,5,Pre-Seed,288,1,2,1,26,Pre-Seed,0,0,0,0.63,10.1,1320,Medium,1,50.7
Fintech,Riyadh,2022,2,Series A,11378,4,9,1,13,Series A,1,0,0,0.9,58.8,182480,Medium,1,54.9
Traveltech,Dammam,2010,14,Pre-Seed,408,2,2,2,15,Pre-Seed,0,0,0,0.48,18.8,3459,High,0,51.2
Healthtech,Riyadh,2019,5,Series A,7054,3,7,2,23,Series A,0,0,0,0.78,48.1,399493,High,1,40.8
Logistics Tech,Riyadh,2018,6,Pre-Seed,345,2,2,1,2,Pre-Seed,0,0,0,0.63,21.7,8159,Medium,1,52.4
Traveltech,Khobar,2010,14,Pre-Seed,416,2,2,1,7,Pre-Seed,0,0,1,0.48,22.8,6855,High,0,41.8
Real Estate Tech,Riyadh,2010,14,Series C,57161,5,20,3,8,Series C,0,0,0,0.82,85.5,12852077,Medium,1,77.1
Fintech,Riyadh,2010,14,Series A,11576,3,4,2,1,Series A,0,0,0,0.9,57.5,56807,Medium,0,54.2
Real Estate Tech,Khobar,2016,8,Pre-Seed,141,1,1,4,28,Pre-Seed,0,1,0,0.82,21.6,8254,High,0,47.6
E-commerce,Jeddah,2013,11,Series B,15285,3,9,2,1,Series B,0,0,0,0.72,71.4,885869,Medium,1,61.3
Logistics Tech,Jeddah,2021,3,Seed,1488,1,6,3,21,Seed,0,0,1,0.63,27.6,41788,Medium,1,57.9
Agritech,Riyadh,2016,8,Series B,35379,3,16,2,26,Series B,0,0,1,0.52,68.0,2866987,Medium,1,67.7
Fintech,Riyadh,2014,10,Series A,11492,2,10,2,15,Series A,0,0,0,0.9,49.3,461306,Medium,0,53.8
E-commerce,NEOM,2021,3,Series A,3901,3,4,2,11,Series A,0,0,0,0.72,49.7,464581,Medium,1,54.2
E-commerce,Jeddah,2016,8,Growth,413604,6,49,2,20,Growth,0,0,1,0.72,97.1,16277472,High,1,52.3
Real Estate Tech,Jeddah,2019,5,Pre-Seed,468,1,3,3,18,Pre-Seed,0,1,1,0.82,23.1,8831,Medium,0,67.1
Fintech,Riyadh,2016,8,Series A,5922,2,6,3,28,Series A,0,0,1,0.9,48.1,482778,Medium,0,52.3
Real Estate Tech,Riyadh,2013,11,Seed,2984,2,2,3,1,Seed,0,1,0,0.82,43.5,15387,Medium,1,56.0
HR Tech,Mecca,2011,13,Pre-Seed,393,2,3,2,8,Pre-Seed,0,0,1,0.65,25.1,8952,Medium,1,58.9
Real Estate Tech,Riyadh,2017,7,Pre-Seed,280,2,3,3,23,Pre-Seed,0,1,1,0.82,24.3,7246,Medium,1,63.9
E-commerce,Jeddah,2011,13,Pre-Seed,470,1,3,2,18,Pre-Seed,0,0,0,0.72,24.5,1243,Medium,0,50.6
Edtech,Riyadh,2018,6,Series A,4922,3,4,4,25,Series A,0,0,0,0.58,45.4,294116,High,0,37.0
Real Estate Tech,Jeddah,2014,10,Series A,7973,2,6,3,20,Series A,0,1,1,0.82,62.4,298918,Medium,0,60.7
HR Tech,Khobar,2018,6,Series A,5388,2,6,1,16,Series A,0,0,0,0.65,41.3,204440,High,0,38.4
HR Tech,Jeddah,2018,6,Pre-Seed,317,2,2,2,14,Pre-Seed,0,0,1,0.65,15.7,2451,Medium,1,57.1
Real Estate Tech,Riyadh,2017,7,Seed,1687,3,6,2,41,Seed,0,1,0,0.82,28.9,58364,Medium,1,58.0
E-commerce,Jeddah,2017,7,Series C,63870,6,30,3,33,Series C,0,0,0,0.72,73.8,3821173,Medium,1,57.0
Real Estate Tech,Dammam,2013,11,Seed,605,1,4,2,22,Seed,0,0,1,0.82,32.1,13126,High,1,51.3
Real Estate Tech,Riyadh,2013,11,Series A,9863,2,7,3,18,Series A,0,0,1,0.82,54.2,453022,High,0,50.1
Fintech,NEOM,2011,13,Series B,32906,3,8,2,23,Series B,1,0,0,0.9,71.7,2217323,Medium,1,57.0
Healthtech,Jeddah,2013,11,Series B,49120,4,13,2,26,Series B,0,0,1,0.78,67.6,1182212,Low,1,80.4
E-commerce,NEOM,2013,11,Seed,1009,2,3,1,22,Seed,0,0,0,0.72,31.4,77809,High,0,37.6
Fintech,Jeddah,2015,9,Series B,21191,4,8,2,10,Series B,1,0,0,0.9,72.5,1055155,Medium,1,59.9
Real Estate Tech,Riyadh,2012,12,Seed,1379,3,6,3,35,Seed,0,1,0,0.82,35.0,79848,High,1,54.9
Traveltech,Riyadh,2011,13,Series B,44690,3,12,2,20,Series B,0,0,0,0.48,66.0,1178787,Low,1,72.9
Real Estate Tech,Riyadh,2017,7,Pre-Seed,362,2,3,2,38,Pre-Seed,0,1,0,0.82,18.4,9828,Medium,1,60.9
Fintech,Khobar,2011,13,Seed,564,2,6,1,19,Seed,1,0,1,0.9,38.2,73144,High,0,30.1
E-commerce,Dammam,2017,7,Pre-Seed,437,2,2,1,15,Pre-Seed,0,0,1,0.72,19.3,1445,Medium,1,56.5
Cybersecurity,Jeddah,2016,8,Series B,43992,5,12,3,31,Series B,0,0,0,0.88,64.9,1202202,Low,1,76.7
Real Estate Tech,Riyadh,2012,12,Seed,1360,3,2,2,21,Seed,0,0,1,0.82,34.9,49977,Medium,1,54.5
Edtech,Riyadh,2015,9,Pre-Seed,367,1,3,3,19,Pre-Seed,0,0,1,0.58,15.4,4976,High,0,45.9
Logistics Tech,Dammam,2015,9,Pre-Seed,111,1,3,3,5,Pre-Seed,0,0,0,0.63,11.9,9684,Medium,0,57.4
Real Estate Tech,Riyadh,2019,5,Series C,82036,5,29,3,24,Series C,0,1,0,0.82,86.0,8892970,Low,0,72.4
Edtech,Riyadh,2014,10,Series B,49845,4,10,2,13,Series B,0,0,1,0.58,74.8,882658,High,1,56.0
Real Estate Tech,Jeddah,2022,2,Series A,3437,3,10,2,13,Series A,0,1,1,0.82,49.6,144533,Medium,1,61.3
Healthtech,Riyadh,2017,7,Series A,9086,3,8,3,13,Series A,0,0,1,0.78,51.3,461656,High,0,42.0
Healthtech,Riyadh,2020,4,Seed,2121,2,6,3,22,Seed,0,0,0,0.78,23.9,24436,Medium,0,47.8
Healthtech,Riyadh,2021,3,Seed,1263,3,5,3,2,Seed,0,0,1,0.78,32.3,18454,High,0,50.3
Fintech,Riyadh,2014,10,Series C,50736,4,29,2,15,Series C,1,0,1,0.9,90.9,4271647,Medium,1,76.0
Agritech,Medina,2016,8,Pre-Seed,146,1,3,2,27,Pre-Seed,0,0,1,0.52,17.7,9142,High,0,46.3
Real Estate Tech,Riyadh,2015,9,Seed,2999,1,6,2,5,Seed,0,1,0,0.82,37.6,23209,Medium,0,58.3
Fintech,Riyadh,2020,4,Seed,1133,1,4,3,19,Seed,0,0,0,0.9,22.6,68095,High,0,49.0
Fintech,Riyadh,2016,8,Seed,2079,1,2,2,11,Seed,0,0,0,0.9,29.5,51140,High,1,50.6
Healthtech,Dammam,2022,2,Seed,1577,3,6,1,13,Seed,0,0,0,0.78,19.9,40155,High,0,38.8
Edtech,Riyadh,2018,6,Seed,2781,2,6,3,34,Seed,0,0,0,0.58,30.0,59126,High,1,54.8
Fintech,Jeddah,2012,12,Pre-Seed,394,2,1,2,1,Pre-Seed,1,0,1,0.9,31.3,6962,High,1,43.0
E-commerce,Riyadh,2019,5,Seed,2399,1,5,2,25,Seed,0,0,0,0.72,21.4,54337,Medium,0,61.4
Real Estate Tech,Riyadh,2016,8,Pre-Seed,299,1,1,1,13,Pre-Seed,0,0,0,0.82,11.0,1254,Medium,1,61.8
Healthtech,Riyadh,2022,2,Pre-Seed,261,1,1,2,12,Pre-Seed,0,0,0,0.78,13.1,3608,Medium,0,51.0
Fintech,Dammam,2019,5,Pre-Seed,136,1,1,2,6,Pre-Seed,1,0,0,0.9,27.1,5258,Medium,1,58.2
Edtech,NEOM,2012,12,Series A,12129,3,4,2,25,Series A,0,0,0,0.58,55.8,50881,High,1,57.9
E-commerce,Riyadh,2022,2,Seed,2645,2,4,1,16,Seed,0,0,0,0.72,23.3,54927,Medium,1,60.0
Traveltech,Jeddah,2011,13,Series A,3896,2,10,1,14,Series A,0,0,1,0.48,52.5,439921,Medium,1,60.2
Fintech,Khobar,2021,3,Series A,5570,4,6,2,19,Series A,0,0,1,0.9,43.1,139882,High,0,40.8
Real Estate Tech,Riyadh,2016,8,Series A,13280,3,7,3,16,Series A,0,1,0,0.82,55.9,210405,Medium,0,50.1
Fintech,Dammam,2013,11,Seed,1414,2,3,1,1,Seed,0,0,1,0.9,38.0,55759,Medium,1,50.1
Traveltech,Riyadh,2010,14,Seed,1677,2,2,2,13,Seed,0,0,0,0.48,31.2,15278,Medium,0,55.1
Agritech,Khobar,2015,9,Seed,1176,3,4,1,26,Seed,0,0,1,0.52,31.7,38864,High,1,42.1
Real Estate Tech,Dammam,2020,4,Series A,7866,4,10,2,2,Series A,0,1,1,0.82,53.0,319173,Low,1,65.2
Edtech,Mecca,2015,9,Seed,711,3,2,2,7,Seed,0,0,0,0.58,36.9,74653,Low,1,76.7
Logistics Tech,Jeddah,2015,9,Series B,34658,5,16,1,13,Series B,0,0,0,0.63,68.2,1695048,Medium,1,68.3
Healthtech,Riyadh,2011,13,Series B,37961,5,13,3,10,Series B,0,0,0,0.78,67.2,637598,Medium,1,73.3
E-commerce,Khobar,2010,14,Pre-Seed,294,2,2,2,17,Pre-Seed,0,0,0,0.72,17.0,3361,Medium,0,53.1
Real Estate Tech,Riyadh,2012,12,Pre-Seed,152,1,1,3,7,Pre-Seed,0,1,0,0.82,20.3,2883,Medium,0,59.6
Fintech,Riyadh,2021,3,Series A,4523,2,9,1,14,Series A,1,0,0,0.9,55.0,242365,Medium,1,53.5
Traveltech,Jeddah,2011,13,Seed,2830,3,3,1,17,Seed,0,0,0,0.48,35.0,65493,Medium,0,49.8
Traveltech,Dammam,2015,9,Pre-Seed,409,1,3,2,24,Pre-Seed,0,0,0,0.48,16.2,1460,High,1,51.1
Healthtech,Khobar,2022,2,Series B,17803,5,13,3,30,Series B,0,0,0,0.78,50.6,757736,Low,1,71.0
Real Estate Tech,Riyadh,2021,3,Pre-Seed,150,1,3,2,15,Pre-Seed,0,1,0,0.82,13.3,4149,Medium,1,59.6
Real Estate Tech,Dammam,2015,9,Series C,68034,4,20,2,36,Series C,0,0,0,0.82,84.3,5461490,Low,1,79.8
Edtech,Jeddah,2022,2,Series A,5321,3,5,2,16,Series A,0,0,1,0.58,48.6,459696,High,0,38.9
Traveltech,Riyadh,2014,10,Series A,13698,4,4,1,26,Series A,0,0,0,0.48,52.0,452292,Medium,1,55.4
Agritech,Riyadh,2019,5,Pre-Seed,219,1,1,4,37,Pre-Seed,0,0,1,0.52,12.0,8721,Medium,0,53.1
Logistics Tech,Riyadh,2019,5,Pre-Seed,288,1,3,2,19,Pre-Seed,0,0,1,0.63,18.1,3719,Medium,0,54.2
Healthtech,Riyadh,2014,10,Seed,546,2,2,3,4,Seed,0,0,0,0.78,26.5,49678,Medium,0,46.6
Fintech,Medina,2018,6,Pre-Seed,342,1,3,3,18,Pre-Seed,0,0,0,0.9,15.2,8031,High,1,46.2
Fintech,Jeddah,2014,10,Seed,811,2,2,2,11,Seed,1,0,0,0.9,32.4,21262,High,0,33.9
Traveltech,Jeddah,2022,2,Seed,831,1,2,1,15,Seed,0,0,1,0.48,31.3,67499,Medium,0,52.3
Healthtech,Medina,2019,5,Pre-Seed,110,2,3,2,37,Pre-Seed,0,0,0,0.78,15.7,6461,High,0,50.1
Fintech,Riyadh,2015,9,Pre-Seed,495,2,2,2,5,Pre-Seed,1,0,0,0.9,22.0,7218,Medium,1,58.1
Fintech,Dammam,2020,4,Series B,22592,5,18,2,21,Series B,1,0,1,0.9,77.4,2611806,Medium,1,70.2
Edtech,Riyadh,2013,11,Pre-Seed,147,2,3,2,9,Pre-Seed,0,0,1,0.58,20.6,6430,High,0,44.1
Fintech,NEOM,2019,5,Pre-Seed,476,1,3,3,14,Pre-Seed,1,0,1,0.9,16.8,4745,High,0,37.4
Fintech,Riyadh,2010,14,Series A,12784,2,4,3,25,Series A,0,0,0,0.9,58.1,414115,High,1,53.6
Healthtech,Mecca,2013,11,Growth,403960,7,40,3,21,Growth,0,0,0,0.78,98.7,20252530,High,0,57.1
Edtech,Riyadh,2011,13,Seed,1484,3,2,1,15,Seed,0,0,1,0.58,34.6,43178,Medium,0,53.6
